{'text': '[Music]', 'start': 0.0, 'duration': 13.0}
{'text': "their own gloves they're related but", 'start': 1538.96, 'duration': 5.549}
{'text': "they're not they just because it's hard", 'start': 1542.469, 'duration': 3.721}
{'text': "they don't know and and there's no way", 'start': 1544.509, 'duration': 3.24}
{'text': 'to explain how life comes from non-life', 'start': 1546.19, 'duration': 3.659}
{'text': 'because in a biological sense life', 'start': 1547.749, 'duration': 3.66}
{'text': 'always comes from life either they law', 'start': 1549.849, 'duration': 4.351}
{'text': 'the law of biogenesis so basically you', 'start': 1551.409, 'duration': 4.32}
{'text': 'have to go against my laws that life', 'start': 1554.2, 'duration': 4.349}
{'text': 'comes from life is not a law it was a', 'start': 1555.729, 'duration': 4.351}
{'text': 'law and creationists often', 'start': 1558.549, 'duration': 2.67}
{'text': 'misrepresented they call it the', 'start': 1560.08, 'duration': 2.49}
{'text': 'biogenetic law but actually the', 'start': 1561.219, 'duration': 2.79}
{'text': 'biogenetic law was the law of', 'start': 1562.57, 'duration': 3.779}
{'text': 'recapitulation that ernst haeckel came', 'start': 1564.009, 'duration': 4.38}
{'text': 'up with but the idea that life comes', 'start': 1566.349, 'duration': 3.81}
{'text': 'from life actually came from rudolf', 'start': 1568.389, 'duration': 3.99}
{'text': 'virchow who was a pioneer geneticist and', 'start': 1570.159, 'duration': 3.93}
{'text': 'he initially said he did he did once', 'start': 1572.379, 'duration': 3.12}
{'text': 'upon a time say that life comes from', 'start': 1574.089, 'duration': 4.14}
{'text': 'life and also he said that cells come', 'start': 1575.499, 'duration': 5.52}
{'text': 'from cells and he was forced to say that', 'start': 1578.229, 'duration': 5.37}
{'text': "diseas'd cells come from diseased cells", 'start': 1581.019, 'duration': 4.83}
{'text': "but then he realized there's a paradox", 'start': 1583.599, 'duration': 5.25}
{'text': 'there that at some point a diseased cell', 'start': 1585.849, 'duration': 5.76}
{'text': 'had to come from a healthy cell that you', 'start': 1588.849, 'duration': 4.65}
{'text': "didn't just have diseased girls coming", 'start': 1591.609, 'duration': 3.48}
{'text': 'from diseased cells so there had to be', 'start': 1593.499, 'duration': 3.571}
{'text': 'another catalyst that had a way for a', 'start': 1595.089, 'duration': 4.83}
{'text': 'healthy cell to become diseased so he', 'start': 1597.07, 'duration': 5.699}
{'text': 'refuted his own law and that caused him', 'start': 1599.919, 'duration': 3.571}
{'text': 'to', 'start': 1602.769, 'duration': 2.881}
{'text': 'consider his previous stipulation that', 'start': 1603.49, 'duration': 5.7}
{'text': 'life comes from life so he undid his own', 'start': 1605.65, 'duration': 6.21}
{'text': 'law when he invented the concept of', 'start': 1609.19, 'duration': 6.45}
{'text': 'abiogenesis he then changed it the law', 'start': 1611.86, 'duration': 7.23}
{'text': 'is now that life comes from a prior', 'start': 1615.64, 'duration': 5.97}
{'text': "matrix that's what Rudolf Virchow said", 'start': 1619.09, 'duration': 5.49}
{'text': 'the very guy who made the law that life', 'start': 1621.61, 'duration': 5.22}
{'text': 'comes from life changed it revised it', 'start': 1624.58, 'duration': 4.41}
{'text': 'and made a new law life comes from a', 'start': 1626.83, 'duration': 4.77}
{'text': 'prior metrics and Thomas Huxley coined', 'start': 1628.99, 'duration': 5.22}
{'text': 'the name of that as abiogenesis a few', 'start': 1631.6, 'duration': 5.61}
{'text': "years later it's so infinitely complex", 'start': 1634.21, 'duration': 4.95}
{'text': 'how you get how you do that I mean it', 'start': 1637.21, 'duration': 3.69}
{'text': 'sounds easy when you hear it but being a', 'start': 1639.16, 'duration': 3.26}
{'text': 'geneticist and knowing how that works', 'start': 1640.9, 'duration': 3.93}
{'text': "it's very very compact it's true that we", 'start': 1642.42, 'duration': 4.21}
{'text': "don't know as much about abiogenesis as", 'start': 1644.83, 'duration': 3.33}
{'text': 'we do about evolution because we can', 'start': 1646.63, 'duration': 3.57}
{'text': 'prove all kinds of stuff about evolution', 'start': 1648.16, 'duration': 3.45}
{'text': "and there's only a couple dozen", 'start': 1650.2, 'duration': 3.479}
{'text': 'experiments that we have that we can', 'start': 1651.61, 'duration': 4.89}
{'text': 'show abiogenesis position so of course', 'start': 1653.679, 'duration': 4.441}
{'text': 'we want to focus on the things that we', 'start': 1656.5, 'duration': 4.23}
{'text': 'can prove to be true that they still', 'start': 1658.12, 'duration': 4.71}
{'text': 'deny and so why do they want to talk', 'start': 1660.73, 'duration': 4.5}
{'text': 'only about abiogenesis and only about', 'start': 1662.83, 'duration': 4.29}
{'text': 'Big Bang cosmology because they have to', 'start': 1665.23, 'duration': 3.9}
{'text': "push things all the way back if we can't", 'start': 1667.12, 'duration': 3.84}
{'text': 'understand every detail right now that', 'start': 1669.13, 'duration': 3.24}
{'text': "means we won't understand it in a", 'start': 1670.96, 'duration': 2.94}
{'text': "hundred years there's a whole lot we", 'start': 1672.37, 'duration': 2.97}
{'text': "didn't understand a hundred years ago", 'start': 1673.9, 'duration': 3.12}
{'text': 'that we have answered that they will', 'start': 1675.34, 'duration': 5.339}
{'text': 'never admit as if how the universe began', 'start': 1677.02, 'duration': 7.05}
{'text': 'or or how life began had any impact over', 'start': 1680.679, 'duration': 6.0}
{'text': 'the fact that humans are a subset of', 'start': 1684.07, 'duration': 4.5}
{'text': 'Apes and that evolution is still', 'start': 1686.679, 'duration': 4.771}
{'text': 'directly observable and confirmable even', 'start': 1688.57, 'duration': 4.59}
{'text': "under controlled conditions they don't", 'start': 1691.45, 'duration': 3.63}
{'text': 'want to talk about that so they want to', 'start': 1693.16, 'duration': 3.81}
{'text': 'go back to wherever the god of the gaps', 'start': 1695.08, 'duration': 3.42}
{'text': "is wherever they think there's a safe", 'start': 1696.97, 'duration': 3.42}
{'text': "place in wherever science can't explain", 'start': 1698.5, 'duration': 3.66}
{'text': 'because they want to pretend which is', 'start': 1700.39, 'duration': 3.57}
{'text': "another falsehood and it's a logical", 'start': 1702.16, 'duration': 3.33}
{'text': 'fallacy too they want to pretend that', 'start': 1703.96, 'duration': 3.57}
{'text': "whatever science can't answer is somehow", 'start': 1705.49, 'duration': 3.81}
{'text': 'evidence for their magic imaginary', 'start': 1707.53, 'duration': 3.42}
{'text': "friend it's sort of a chicken which came", 'start': 1709.3, 'duration': 3.42}
{'text': 'first the chicken or the egg okay now', 'start': 1710.95, 'duration': 3.12}
{'text': "obviously it's craziness the chicken", 'start': 1712.72, 'duration': 2.76}
{'text': 'came first okay because the chicken was', 'start': 1714.07, 'duration': 2.73}
{'text': 'created on day five with all the other', 'start': 1715.48, 'duration': 2.85}
{'text': 'flying creatures and then eggs came out', 'start': 1716.8, 'duration': 4.44}
{'text': "thing about creationism it's a form of", 'start': 1718.33, 'duration': 4.65}
{'text': 'religious extremism but it just just', 'start': 1721.24, 'duration': 3.51}
{'text': 'takes the worse of Christianity and', 'start': 1722.98, 'duration': 3.69}
{'text': "turns it up to 11 it's all about", 'start': 1724.75, 'duration': 5.309}
{'text': "absolving responsibility you don't have", 'start': 1726.67, 'duration': 5.94}
{'text': 'to actually do anything to make', 'start': 1730.059, 'duration': 4.021}
{'text': "reparations for the things you've done", 'start': 1732.61, 'duration': 3.31}
{'text': "wrong you just pretend that you're magic", 'start': 1734.08, 'duration': 4.09}
{'text': 'your friend has forgiven you and then', 'start': 1735.92, 'duration': 3.75}
{'text': "they don't have to be responsible for", 'start': 1738.17, 'duration': 2.88}
{'text': 'the environment either because it', 'start': 1739.67, 'duration': 3.42}
{'text': "doesn't matter how many more souls we", 'start': 1741.05, 'duration': 3.33}
{'text': "bring unto the Lord it doesn't matter", 'start': 1743.09, 'duration': 2.94}
{'text': "that you can't feed all your kids", 'start': 1744.38, 'duration': 4.92}
{'text': 'because Jesus is gonna return any minute', 'start': 1746.03, 'duration': 6.81}
{'text': "now to save us from ourselves and he's", 'start': 1749.3, 'duration': 5.19}
{'text': 'gonna roast the planet anyway and', 'start': 1752.84, 'duration': 4.02}
{'text': "they're not able to think hypothetically", 'start': 1754.49, 'duration': 4.17}
{'text': 'they asked me all the time what if', 'start': 1756.86, 'duration': 3.75}
{'text': "you're wrong but when I say okay well", 'start': 1758.66, 'duration': 3.87}
{'text': "then then Jesus would show up and we'd", 'start': 1760.61, 'duration': 3.21}
{'text': "have a pristine world where everybody's", 'start': 1762.53, 'duration': 3.12}
{'text': 'happy and he would waste that for no', 'start': 1763.82, 'duration': 3.09}
{'text': "reason but what if you're wrong and then", 'start': 1765.65, 'duration': 3.42}
{'text': "the only answer is I'm not wrong yeah", 'start': 1766.91, 'duration': 6.51}
{'text': 'you are a goober but the problem is you', 'start': 1769.07, 'duration': 6.24}
{'text': "can't even think hypothetically because", 'start': 1773.42, 'duration': 4.29}
{'text': 'you have to believe in a lie and it is a', 'start': 1775.31, 'duration': 5.07}
{'text': 'lie when you state as fact baseless', 'start': 1777.71, 'duration': 4.08}
{'text': 'assertions that are unsupported by', 'start': 1780.38, 'duration': 3.72}
{'text': "evidence that's a lie just like when you", 'start': 1781.79, 'duration': 4.2}
{'text': 'pretended to know things that no one', 'start': 1784.1, 'duration': 3.33}
{'text': 'even can know well I know for a fact', 'start': 1785.99, 'duration': 3.45}
{'text': "that God exists but no you don't because", 'start': 1787.43, 'duration': 3.09}
{'text': 'knowledge is demonstrable with', 'start': 1789.44, 'duration': 2.73}
{'text': 'measurable accuracy you can show what', 'start': 1790.52, 'duration': 3.66}
{'text': "you know we can test it but if you can't", 'start': 1792.17, 'duration': 3.84}
{'text': 'verify the accuracy of your claims to', 'start': 1794.18, 'duration': 3.45}
{'text': 'any degree at all by any means', 'start': 1796.01, 'duration': 4.23}
{'text': "whatsoever then you don't actually know", 'start': 1797.63, 'duration': 4.56}
{'text': 'that you only think you do', 'start': 1800.24, 'duration': 4.32}
{'text': "that's only what you believe and when I", 'start': 1802.19, 'duration': 4.35}
{'text': 'say believe and they say believe it', 'start': 1804.56, 'duration': 3.15}
{'text': "means something different I don't even", 'start': 1806.54, 'duration': 2.91}
{'text': "use the word anymore I'll say I don't", 'start': 1807.71, 'duration': 3.78}
{'text': "think that's the case because it was", 'start': 1809.45, 'duration': 3.78}
{'text': 'that you know what I believe is what I', 'start': 1811.49, 'duration': 3.63}
{'text': "think is most likely true we're closest", 'start': 1813.23, 'duration': 3.63}
{'text': 'to the truth because I tried out to work', 'start': 1815.12, 'duration': 3.45}
{'text': 'in absolutes but when they say believe', 'start': 1816.86, 'duration': 5.22}
{'text': "they mean make believe it's what they", 'start': 1818.57, 'duration': 5.13}
{'text': "pretend that's what this is all about", 'start': 1822.08, 'duration': 3.87}
{'text': "and that's why they have apologetics", 'start': 1823.7, 'duration': 3.96}
{'text': 'which is systematically making up', 'start': 1825.95, 'duration': 3.87}
{'text': 'excuses to rationalize or justify or', 'start': 1827.66, 'duration': 3.9}
{'text': 'dismiss any and all evidence against', 'start': 1829.82, 'duration': 3.27}
{'text': "their preferred position that's what", 'start': 1831.56, 'duration': 3.39}
{'text': "apologetics is and it's one of the", 'start': 1833.09, 'duration': 3.39}
{'text': 'things that makes faith the most', 'start': 1834.95, 'duration': 3.15}
{'text': 'dishonest position it is possible to', 'start': 1836.48, 'duration': 3.27}
{'text': 'have well that sounds like a perfect', 'start': 1838.1, 'duration': 3.6}
{'text': 'place to end it thank you so much for', 'start': 1839.75, 'duration': 4.02}
{'text': 'stopping by urn how are all things in', 'start': 1841.7, 'duration': 3.81}
{'text': 'your merry world things are all right', 'start': 1843.77, 'duration': 3.51}
{'text': 'where I live things are starting to open', 'start': 1845.51, 'duration': 3.99}
{'text': "up a little faster than I'm personally", 'start': 1847.28, 'duration': 4.08}
{'text': "comfortable with I'm a little scared to", 'start': 1849.5, 'duration': 4.95}
{'text': 'these 2nd and 3rd waves oh yeah seems to', 'start': 1851.36, 'duration': 5.04}
{'text': 'be religious organizations like Answers', 'start': 1854.45, 'duration': 3.96}
{'text': 'in Genesis so the forefront of pushing', 'start': 1856.4, 'duration': 3.69}
{'text': 'these floodgates open yeah I mean not', 'start': 1858.41, 'duration': 5.07}
{'text': 'here in Texas of course yep you know the', 'start': 1860.09, 'duration': 7.16}
{'text': 'the American Alberta yeah', 'start': 1863.48, 'duration': 3.77}
{'text': "yeah it's it's much the same thing", 'start': 1868.0, 'duration': 4.24}
{'text': 'can I have to make predictions in the', 'start': 1870.919, 'duration': 2.851}
{'text': "world we're in now but hopefully we're", 'start': 1872.24, 'duration': 2.7}
{'text': 'paving the way to be down there for', 'start': 1873.77, 'duration': 3.389}
{'text': "faithless form 2021 we'll hit some more", 'start': 1874.94, 'duration': 7.349}
{'text': "barbecue places you're buying yeah like", 'start': 1877.159, 'duration': 6.9}
{'text': 'that if for some reason you not already', 'start': 1882.289, 'duration': 3.781}
{'text': 'subscribed to iron rods YouTube channel', 'start': 1884.059, 'duration': 3.72}
{'text': 'you should definitely fix that', 'start': 1886.07, 'duration': 3.66}
{'text': "immediately as he's been doing an", 'start': 1887.779, 'duration': 4.171}
{'text': 'amazing job recently of advancing', 'start': 1889.73, 'duration': 3.87}
{'text': 'biology education on many fronts', 'start': 1891.95, 'duration': 3.9}
{'text': "including philosophy he's not just", 'start': 1893.6, 'duration': 4.29}
{'text': 'addressing creation claims and if you', 'start': 1895.85, 'duration': 4.23}
{'text': 'are already subscribed perhaps consider', 'start': 1897.89, 'duration': 4.08}
{'text': "becoming an iron raw patron as he's a", 'start': 1900.08, 'duration': 4.589}
{'text': "full-time advocate and educator and it's", 'start': 1901.97, 'duration': 4.559}
{'text': 'been a tricky year for support', 'start': 1904.669, 'duration': 4.441}
{'text': 'speaking of which thank you so much to', 'start': 1906.529, 'duration': 4.831}
{'text': 'my patrons without whom my work on this', 'start': 1909.11, 'duration': 4.38}
{'text': 'channel would not be possible thank you', 'start': 1911.36, 'duration': 4.169}
{'text': "so much for watching and since you're", 'start': 1913.49, 'duration': 4.02}
{'text': 'still here the video on the screen is a', 'start': 1915.529, 'duration': 3.51}
{'text': 'pretty great choice of what to watch', 'start': 1917.51, 'duration': 2.039}
{'text': 'next', 'start': 1919.039, 'duration': 2.49}
{'text': "give it a tap and I'll see you over", 'start': 1919.549, 'duration': 4.591}
{'text': 'there it makes people really irritate', 'start': 1921.529, 'duration': 5.011}
{'text': 'the [ __ ] out of me really', 'start': 1924.14, 'duration': 6.429}
{'text': '[Laughter]', 'start': 1926.54, 'duration': 4.029}
